OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,TLE_LINE1,TLE_LINE2
DEMO-STARLINK-50020,50020,15.06,0.0001,53.05,1 50020U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50020  53.0500 136.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50021,50021,15.06,0.0001,53.05,1 50021U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50021  53.0500 144.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50022,50022,15.06,0.0001,53.05,1 50022U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50022  53.0500 151.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50023,50023,15.06,0.0001,53.05,1 50023U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50023  53.0500 158.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50024,50024,15.06,0.0001,53.05,1 50024U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50024  53.0500 165.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50025,50025,15.06,0.0001,53.05,1 50025U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50025  53.0500 172.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50026,50026,15.06,0.0001,53.05,1 50026U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50026  53.0500 180.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50027,50027,15.06,0.0001,53.05,1 50027U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50027  53.0500 187.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50028,50028,15.06,0.0001,53.05,1 50028U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50028  53.0500 194.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50029,50029,15.06,0.0001,53.05,1 50029U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50029  53.0500 201.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50030,50030,15.06,0.0001,53.05,1 50030U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50030  53.0500 208.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50031,50031,15.06,0.0001,53.05,1 50031U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50031  53.0500 216.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50032,50032,15.06,0.0001,53.05,1 50032U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50032  53.0500 223.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50033,50033,15.06,0.0001,53.05,1 50033U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50033  53.0500 230.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50034,50034,15.06,0.0001,53.05,1 50034U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50034  53.0500 237.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50035,50035,15.06,0.0001,53.05,1 50035U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50035  53.0500 244.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50036,50036,15.06,0.0001,53.05,1 50036U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50036  53.0500 252.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50037,50037,15.06,0.0001,53.05,1 50037U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50037  53.0500 259.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50038,50038,15.06,0.0001,53.05,1 50038U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50038  53.0500 266.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50039,50039,15.06,0.0001,53.05,1 50039U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50039  53.0500 273.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50040,50040,15.06,0.0001,53.05,1 50040U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50040  53.0500 280.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50041,50041,15.06,0.0001,53.05,1 50041U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50041  53.0500 288.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50042,50042,15.06,0.0001,53.05,1 50042U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50042  53.0500 295.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50043,50043,15.06,0.0001,53.05,1 50043U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50043  53.0500 302.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50044,50044,15.06,0.0001,53.05,1 50044U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50044  53.0500 309.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50045,50045,15.06,0.0001,53.05,1 50045U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50045  53.0500 316.8000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50046,50046,15.06,0.0001,53.05,1 50046U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50046  53.0500 324.0000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50047,50047,15.06,0.0001,53.05,1 50047U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50047  53.0500 331.2000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50048,50048,15.06,0.0001,53.05,1 50048U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50048  53.0500 338.4000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50049,50049,15.06,0.0001,53.05,1 50049U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50049  53.0500 345.6000 0001000  90.0000 270.0000 15.0600000012345
DEMO-STARLINK-50050,50050,15.06,0.0001,53.05,1 50050U 20001B   26042.40000000  .00010000  00000+0  10000-3 0  9990,2 50050  53.0500 352.8000 0001000  90.0000 270.0000 15.0600000012345
